nama_produk,kategori_versi_awal,kategori_seharusnya,versi_awal_benar
buku tulis YOU 38 lembar 1 pak isi 10 buku,Buku & Alat Tulis,Buku & Alat Tulis,True
"APC Mobile Power Bank, 5000 mAh Li-polymer",Handphone,Handphone,True
Peci Rajut MS Motif Bintang,Lainnya,Fashion,False
Keranjang Gantung Rak Gantung Kotak Plastik Portabel Meja Belajar,Rumah Tangga,Rumah Tangga,True
Macrame Wall Hanging / Hiasan Dinding Warna-Hiasan Pajangan Dinding Macrame Aesthetic,Rumah Tangga,Rumah Tangga,True
XL Professionnel Hair Serum 70ml/Ready - Revitalizing,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
WARDAH Paket Ombre Glasting Liquid Lip x Matte Lip Cream,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
NANAS PALEMBANG (KUPAS & GILING/PARUT),Lainnya,Makanan & Minuman,False
Jam Tangan Analog Pria Polo BHPC BP3779X Series Stainless Steel,Fashion,Fashion,True
ELLORA EM-9357 Sandal Wedges Wanita Import 7cm,Fashion,Fashion,True
Kompor Gas 1 tungku sanex FREE SELANG REGULATOR,Pertukangan,Rumah Tangga,False
Spon Ajaib Pembersih Kaca Kerak Aquarium Lumut Jamur Aquascape Busa Ajaib Pembersih Kerak Aquarium Spons Ajaib Pembersih Serba Guna,Hewan Peliharaan,Hewan Peliharaan,True
Kacamata K ion nano Premium 7 Original Klink Blue Lensa Eyewear,Fashion,Fashion,True
Golden Roof Plafon PVC Putih Serat Kayu Model KB 2014 & kb 2048,Pertukangan,Pertukangan,True
[ORIGINAL] OCTAVIA Sepatu Comfy Flyknit Flat Shoes Wanita #OC-2202,Fashion,Fashion,True
GMC 519 Kipas angin dinding besi 18 inch - 18in - Tornado Wall Fan SNI,Elektronik,Elektronik,True
Tineco A30S Pet Powerful Cordless Stick Handheld Vacuum Cleaner,Hewan Peliharaan,Elektronik,False
Kunci pintu RUMAH tanggung ukuran 20 cm kotak GRT door lock high quality,Rumah Tangga,Pertukangan,True
AZKO Arthome Bingkai Foto Meja Pigura Aesthetic Frame Tempat Foto Pajangan Dekorasi Rumah Figura,Rumah Tangga,Rumah Tangga,True
Acome Inpods AT06 Earphone Bluetooth 5.3 TWS Earbuds ENC Dual Mic,Elektronik,Elektronik,True
Lampu Meja / Lampu Belajar / Lampu Baca Jepit Duduk / Desk Lamp,Elektronik,Elektronik,True
Pisces Dispenser Air Galon Atas WD-201 Hot and Normal WD201,Elektronik,Elektronik,True
Flat Shoes Puma Speedcat Ballet Black Mauve Mist 100% Authentic,Fashion,Fashion,True
KARBURATOR PWK KRJ RACING (V2) ORIGINAL 24 26 28 30 32 34,Otomotif,Otomotif,True
SANIYE LIVE Lipstik Matte Velvet Lipstick Bibir Tahan Lama,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Telur Ikan Kakap Merah Segar 1Kg,Makanan & Minuman,Makanan & Minuman,True
PRIMA CLASSE Colcci 1957 - Sepatu Kerja Wanita Medium Heels 6cm Hitam Shoes High,Fashion,Fashion,True
Jersey Sepeda Lengan Panjang Full Zipper/Baju Sepeda/Baju Gowes,Olahraga,Olahraga,True
Frame Kacamata Pria Sport New Balance 09153 Ringan Grade Original,Fashion,Fashion,True
Frasser Kacamata Renang Anak Murah Kaca Mata Renang Swimming Goggles Wen Fei Original KMR - WF 05,Olahraga,Olahraga,True
BOLDe Super Hoover Cyclone Black ( Vacuum Cleaner ),Elektronik,Elektronik,True
Boneka guling boba led/guling boba terlaris 60 cm Dolls,Elektronik,"Ibu, Bayi & Mainan",False
Masker 3M 6200/ 07025/ Original 3M,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Lantai Decking Kayu Ulin Solid Uk 2x9x50-150cm,Lainnya,Pertukangan,False
Lampu Belajar Arsitek / Lampu Kerja Arsitek / Lampu Meja Desk Lamp,Elektronik,Elektronik,True
Pupuk Kapur Dolomit,Rumah Tangga,Rumah Tangga,True
HAIR EXTENSION NATURAL 45 CM STANDART - 20 HELAI,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Benih Buah Penyegar 5 Macam Benih Paket Buah-Buahan Segar Seribuan,Makanan & Minuman,Rumah Tangga,False
Hijacket Belva - Jaket Muslimah Elegan Umroh Travelling | Mantel Musim Dingin,Fashion,Fashion,True
RAKET BADMINTON PROTECH ORIGINAL / RAKET MURAH BAGUS,Olahraga,Olahraga,True
Corningware Lilyville Casserole / Kaserol Set / Panci Kaca Set,Rumah Tangga,Rumah Tangga,True
Gelas Kaca Valencia 6 pcs,Rumah Tangga,Rumah Tangga,True
Setrika Maspion EX-1010 Anti Lengket Murah Berkualitas Garansi 3Tahun,Elektronik,Elektronik,True
KUNCI GEMBOK ATS 40 MM PANJANG / PADLOCK ATS 40MM LEHER PANJANG,Pertukangan,Pertukangan,True
MH - Bantal Tidur Hotel Silikon GRADE A / Bantal Tidur Kepala,Rumah Tangga,Rumah Tangga,True
Logitech G304 Lightspeed Mouse Gaming Wireless Sensor 12K DPI,Elektronik,Elektronik,True
Nakasone Roller Spin Vario 125 150 PCX Roler Motor Matic Harga Satuan,Otomotif,Otomotif,True
Nano Block Serangga dan hewan laut dinosaurus hewan ternak lucu,Lainnya,"Ibu, Bayi & Mainan",False
HUGO Payung Tenda 200 cm Jualan Taman Pantai Cafe Bazar Lapak,Olahraga,Rumah Tangga,False
TaffSPORT Kursi Lipat Portable Memancing Outdoor Fishing Chair AAN147,Rumah Tangga,Rumah Tangga,True
KULIT DOMBA SUPER TIPIS 0.4 Mm lembaran utuh 6 feet HITAM,Lainnya,Lainnya,True
Sandal Heels wanita terbaru hak 5cm sandal heels size 37-40,Fashion,Fashion,True
Pigura Bingkai Frame Foto Kolase Klip Jepit Tali 25x30 cm Kaca Plastik Kayu Pink,Rumah Tangga,Rumah Tangga,True
"Tas Selempang Pria Wanita 1420 - Slingbag Uniseks Muat Laptop 14""",Elektronik,Fashion,False
LOSS LESS Hair Thickening Serum (Beli 2 Lebih Murah),Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
1 PACK 10 PCS BUKU TULIS SIDU COVER COKLAT 40 LEMBAR,Makanan & Minuman,Buku & Alat Tulis,False
Poster Bounty ONE PIECE | Wanted Crew Mugiwara Wanokuni | Satuan A4 - luffy,Lainnya,Rumah Tangga,False
Paket Lengkap Selang + regulator Kompor Gas Original 100% Kwalitas Terbaik,Pertukangan,Pertukangan,True
Erigo Hoodie Pullover Aveline Black,Fashion,Fashion,True
Sepatu Sandal Pria NIKE VISTA DJ6605201 ORIGINAL,Fashion,Fashion,True
Homesleeping - Sarung Guling 30x90 / 30x100 Plain / Polos Minimalis,Fashion,Rumah Tangga,False
Parfum Original Fragrance World F Le Parfum For Men Edp 100 ml,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
KURMA GOLDEN VALLEY PREMIUM QUALITY KURMA MESIR,Makanan & Minuman,Makanan & Minuman,True
Sorban Panjang Kashmiri Merah Hijau Krem Hitam Habib Import,Lainnya,Fashion,False
NEW ACE KRIS PARUTAN DENGAN KERANJANG WADAH ALAT PARUT GRATER PEMARUT KEJU,Makanan & Minuman,Rumah Tangga,False
Hanasui Mattedorable Lipstick 2g/Lipstik/Lip Matte,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Pashmina Viscose Shawl Premium - Jannedt.id,Fashion,Fashion,True
Usus Ayam Tepung Original @250gr .RICH,Makanan & Minuman,Makanan & Minuman,True
Lemari pakaian 3 pintu minimalis dengan cermin dan laci DIAMOND SERIES,Rumah Tangga,Rumah Tangga,True
BM-Meja Belajar lipat portable buat jualan mini kamar aesthetic,Rumah Tangga,Rumah Tangga,True
Tabung Oksigen 1 m3. Termasuk isi oksigen.,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Kemeja Batik Empati Sutra Super Tulis Terbaik,Fashion,Fashion,True
LOGITECH G213 PRODIGY RGB Gaming Keyboard Full Size,Elektronik,Elektronik,True
Handuk Mandi Eternal Terry Palmer Original - Handuk Hampers/ Gift,Rumah Tangga,Rumah Tangga,True
Mukena Couple Ibu dan Anak Motif Cantik Rayon Handprint Terbaik Atasan Nyaman Panjang Muslim,Fashion,Fashion,True
Samono Mini Chopper Portable SW-L6 Blender Kapasitas 450ml Penggiling Bumbu,Elektronik,Elektronik,True
Cypruz Spatula Silikon Set Motif Tahan Panas Anti Lumer 3 pcs,Rumah Tangga,Rumah Tangga,True
"Realme Watch 2 Garansi Resmi Smartwatch Layar 1.4"" IPS LCD",Handphone,Elektronik,True
Netline HDMI Extender 200Meter Over Kabel Lan Cat6,Elektronik,Elektronik,True
KAOS KAKI JEMPOL SOKA ORIGINAL BASIC BLACKSOLE UKURAN M SOKA SOCK,Fashion,Fashion,True
Plafon Pvc Motif Serat Kayu Putih Alfafon,Pertukangan,Pertukangan,True
DELUXE PLUS SPRINGBED KASUR MATRAS MINIMALIS SPRINGBED DELUXE TERLARIS,Olahraga,Rumah Tangga,False
CARESO Wild Orchid - Body Fragrance 100ml,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Indomie Mie Instant Goreng Spesial 85 Gram,Makanan & Minuman,Makanan & Minuman,True
VIRAL DAN PALING LARISSS!!! Jam Tangan Android Whatsapp Pintar,Fashion,Elektronik,False
Mouse Murah Kualitas Bagus kabel Heatz ZM59 / Mouse Kabel USB,Elektronik,Elektronik,True
IKEA MAMMUT Meja Belajar Kecil Anak Dalam/Luar Ruangan Plastik,Rumah Tangga,Rumah Tangga,True
Fish roll 500gram shifudo sumber frozen makmur,Makanan & Minuman,Makanan & Minuman,True
VBELT OMEGA B26 B27 B28 B29 B30 B31 B32 B33 B34 B35 FANBELT MESIN INDUSTRI OFFICIAL STORE,Lainnya,Pertukangan,False
lohansung cincuan blue buat stek,Lainnya,Rumah Tangga,False
Mainan Emco Cotton Candy Cones Mainan Boneka Charm,"Ibu, Bayi & Mainan","Ibu, Bayi & Mainan",True
kacamata hitam polos polari,Fashion,Fashion,True
Granit motif 3D,Lainnya,Pertukangan,False
Pulley motor kompresor Shark 2Hp,Otomotif,Pertukangan,False
Grosir 10 Pcs Sarung Sapphire motif Lilin 7 Warna,Fashion,Fashion,True
Sepatu boot pria / tracking hiking motoris biker kulit asli HJD 827,Olahraga,Olahraga,True
Polident 3D Hold Freshmint 60 g - Lem Gigi Palsu,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
CUCI GUDANG Mi Wolf Keyboard Gaming Mekanikal RGB,Elektronik,Elektronik,True
Audio Technica Headset ATH-M20xBT Wireless Over Ear Headphones,Elektronik,Elektronik,True
Mipacko Handuk Travel Microfiber Mipacko Ringan Menyerap + Tas Model Terbaru,Fashion,Rumah Tangga,False
Rak Sepatu Sliding 6 Susun / Lemari Sepatu Pintu Sliding,Fashion,Rumah Tangga,False
ARA BELL PARFUME WANITA EAU DE PARFUME TAHAN LAMA,Lainnya,Kesehatan & Kecantikan,False
Mainan Edukasi Anak Transparan School Bus Bump And Go Toys Light Sound,"Ibu, Bayi & Mainan","Ibu, Bayi & Mainan",True
Rak Dinding Model Gantung Besi Serbaguna Alika Furniture - Set 3 Susun,Rumah Tangga,Rumah Tangga,True
Miracle Jewelry - Cincin Wanita Straight Arm Snowflake Adjustable ring,Perhiasan,Perhiasan,True
Manset Gamis Jersey Spandek Daleman Busana Muslim Jubah Long Dress Inner Panjang,Olahraga,Fashion,False
PC Kantor Terbaik Intel Gen 12 - Intel Core i3-12100 / i5-12400 / i7-12700 | RAM 16GB | SSD M2 NVMe 512GB,Elektronik,Elektronik,True
Lip Serum | BPOM | ORIGINAL| Bibir Niacinamide Vitamin,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Royal Care Salep Anti Jamur / Salep Ajaib Kucing Anjing,Hewan Peliharaan,Hewan Peliharaan,True
SORCERY 925 Silver Ring RST Cincin Perak Emas 18K Real Gold,Perhiasan,Perhiasan,True
Masker pelindung wajah - masak / las serbaguna Full Face muka Protective Mask,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
Promo Sanrio Cinnamoroll Gumball Machine Umbrella 35cm Limited,Lainnya,Rumah Tangga,False
[DISKON 50%] MINISO Tas Tangan Handbag Top-handle Bags Tas Pundak Mode Pola Batu,Fashion,Fashion,True
pendingin ruangan kipas angin AC cooler SEPAKET TERMURAH isi 6pcs,Elektronik,Elektronik,True
RECORD AURORA SEPATU SEKOLAH ANAK SMP SMA PEREMPUAN HITAM POLOS/PUTIH TALI 33-40,Fashion,Fashion,True
Benang Polyester Star Elephant 180gr,Rumah Tangga,Rumah Tangga,True
Kembang Api Kawat ukuran Super Jumbo 1 Pack Isi 5btg / Bunga Api Kawat,Pertukangan,Lainnya,False
Clio Botol Air Minum Plastik / Water Bottle,Rumah Tangga,Rumah Tangga,True
CAP LANG BALSEM 20 GRAM POT,Rumah Tangga,Kesehatan & Kecantikan,False
MESIN JAM DINDING MIRADO QUARTZ HIGH QUALTY /MESIN MIARDO ORIGINAL/MESIN JAM DINDING BERKUALITAS/MESIN JAM DINDING PREMIUM,Rumah Tangga,Rumah Tangga,True
Jaket The North Face Women Original,Fashion,Fashion,True
