kelompok,rating,teks,berisi_keluhan
negatif_terlewat,2,Mantapppp.............................,False
negatif_terlewat,1,Thanks..........................................,False
negatif_terlewat,1,Barang sesuai dengan pesanan,False
negatif_terlewat,2,"Trims, joystick sudah sampe (pengiriman cepat), seller fast response.",False
negatif_terlewat,1,"barangnya bagus, tapi respon agak lama...",True
negatif_terlewat,2,"Barangnya bagus, smg awet dehh ni barang",False
negatif_terlewat,2,Fast Respon ! Good job.............................................................,False
negatif_terlewat,1,makasih barang sudah saya terima .......,False
negatif_terlewat,2,"barang nya bagus,tidak mengecewakan",False
negatif_terlewat,2,barang sudah diterima dg baik. maaf reviewnya telat,False
negatif_terlewat,1,"barang cepat sampai, packing aman, rapih 
product tidak ada cacat",False
negatif_terlewat,2,"barang sudah sampe,thanks. lumayan bagus",False
negatif_terlewat,2,"Order pakai Jnt tapi dikirim pakai POS 
Barang sesuai pesanan dan packing rapi.
Terimakasih",True
negatif_terlewat,2,ok ok ok ko ok ko ok ok ok ok ok ok bu k ok,False
negatif_terlewat,2,sesuai gambar tapi sayang matrasnya licin klo buat yoga..,True
negatif_terlewat,2,brg oke dan kualitas bagus punya. nambun tidak ada cara pemakainya,True
negatif_terlewat,2,"pengiriman cepat, packing bagus, sayang kedetect ama lenovo not genuine. 
saya lagi apes kali.
trims",True
negatif_terlewat,2,thanks sis paketnya sudah sampai,False
negatif_terlewat,2,"barang sesuai,, tapi pengiriman masalah  mustinya gran cepet jadi nunda 3 hari",True
negatif_terlewat,2,jadi agak susah nekuk dengkul. overall bagus. semoga usahanya lancar.,True
negatif_terlewat,1,Bintang yang menilai semua............,False
negatif_terlewat,2,"Seller ok. Packing rapi dan pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",True
negatif_terlewat,2,paket dibungkus dng rapih..dan bgs..smoga unit nya sebagus dng packaging nya.,False
negatif_terlewat,2,"terima kasih gan, barang udah nyampe dan kondisinya bagus... tapi lama sekali nunggunya gan",True
negatif_terlewat,2,brg sdh diterima.................,False
negatif_terlewat,2,Lumayan bagus walaupun masih agak telat pngiriman,True
negatif_terlewat,2,"waduhhh bro kurang teliti dalam QC , tp utk harga segitu ok lah ... ada yg bopeng dibagian lingkaran jam dan pengaitnya ane kira stainles ternyata plastik... thx yah overall saya puas bro ...",True
negatif_terlewat,1,"barang udah d terima,tingal nyoba!",False
negatif_terlewat,2,"memuaskan. I love Tokopedi
a.suksma Tokopedia.",False
negatif_terlewat,1,"Barangnya sih oke tp slow banget responnya, coba deh tingkatkan lagi ke depannya",True
negatif_terlewat,1,bad service! smoga lebih menghargai costomer,True
negatif_terlewat,2,"Sesuai pesanan, kirain pake cas, salah lihat. Kalau yg cas selisih dikit saja",False
negatif_terlewat,1,barangnya sudah sampaaaai......,False
negatif_terlewat,2,pengiriman sesuai waktu..tp barang sesuai bintang aja deh..,True
negatif_terlewat,2,paket udah keterima terimakasih,False
negatif_terlewat,2,di kira punchinf pad gde tp g papa makasi,True
negatif_terlewat,2,brg sdh ditrima... trims... tapi matrasnya licin,True
negatif_terlewat,1,"salah kasih barang, hati2 untuk toko ini",True
negatif_terlewat,2,"Barangx sesuai deskripsi, diterima dlm kondisi ok, cuma sayangx baru dipakai sehari sdh robek, kualitas sesuai harga.",True
negatif_terlewat,2,sudah diterima pesanannya. tkyuuu,False
negatif_terlewat,1,walaupun brng sesuai untk pengiriman lama dan respon y,True
negatif_terlewat,2,"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",True
negatif_terlewat,1,Lebih teliti lg ya gan kalau ngasih informasi,True
negatif_terlewat,1,Barang kasar banget dan tidak sesuqi dengan foto,True
negatif_terlewat,2,"barang sudah sampai,,respon cpat lumayan gan",False
negatif_terlewat,2,Goodquality but the Worst marketing managers without any mutual respect for cust,True
negatif_terlewat,1,"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",True
negatif_terlewat,2,"Apa hanya saya saja ya yang merasa kalau hape ini terasa sangat ringkih,padahal setahu saya hape nokia iti build qualitynya sangat bagus,,,,,agak kecewa sih,tp semoga barangnya awet",True
negatif_terlewat,1,lumayan lumayan lumayan deh,False
