nama_produk,kategori,nama_toko,lokasi_toko,kota,provinsi,harga,diskon,terjual,jumlah_ulasan,rating,url
Raw Food Beef Bone-In / Daging Giling / Dog Food / Cat Food,Hewan Peliharaan,Lazy Dog Supply,Jakarta Selatan,Jakarta,DKI Jakarta,35000,0.0,1000,10,5.0,https://www.tokopedia.com/lazy-dog-supply/raw-food-beef-bone-in-daging-giling-dog-food-cat-food
Turkey Meat ONLY NO BONE - 1KG - Daging Kalkun Raw Dog Cat Food,Hewan Peliharaan,RumahBully,Jakarta Timur,Jakarta,DKI Jakarta,79999,0.0,250,,5.0,https://www.tokopedia.com/rumahbully/turkey-meat-only-no-bone-1kg-daging-kalkun-raw-dog-cat-food
Chicken mix Salmon Raw Food ayam mix salmon makanan kucing anjing dog food 1kg omega3,Hewan Peliharaan,RumahBully,Jakarta Barat,Jakarta,DKI Jakarta,33000,0.0,26,,5.0,https://www.tokopedia.com/rumahbully/chicken-mix-salmon-raw-food-ayam-mix-salmon-makanan-kucing-anjing-dog-food-1kg-omega3
PROMO BULANAN - SOSIS CHOP PREMIUM RAW - DOG FOOD 1KG,Hewan Peliharaan,RumahBully,Tangerang Selatan,Tangerang Selatan,Banten,29900,0.0,100,,5.0,https://www.tokopedia.com/rumahbully/promo-bulanan-sosis-chop-premium-raw-dog-food-1kg
Premium Dog Food / Daging Sapi Giling / Raw Food Beef Bone-In PLUS 1KG,Hewan Peliharaan,RumahBully,Jakarta Selatan,Jakarta,DKI Jakarta,39000,0.0,1000,,5.0,https://www.tokopedia.com/rumahbully/premium-dog-food-daging-sapi-giling-raw-food-beef-bone-in-plus-1kg
Complete Dog Raw food With offal & Vegetable - BEST LAMB - (1KG),Hewan Peliharaan,RumahBully,Tangerang Selatan,Tangerang Selatan,Banten,79999,0.0,100,,5.0,https://www.tokopedia.com/rumahbully/complete-dog-raw-food-with-offal-vegetable-best-lamb-1kg
Dog & Cat Raw Food - Fresh Turkey BARF 1kg,Hewan Peliharaan,RumahBully,Jakarta Timur,Jakarta,DKI Jakarta,45000,0.0,4000,,4.9,https://www.tokopedia.com/rumahbully/dog-cat-raw-food-fresh-turkey-barf-1kg
RAW FOOD CHICKEN/CAT FOOD/ DOG FOOD/MAKANAN KUCING/MAKANAN ANJING 1KG,Hewan Peliharaan,RumahBully,Jakarta Barat,Jakarta,DKI Jakarta,8000,0.0,1000,,4.9,https://www.tokopedia.com/rumahbully/raw-food-chicken-cat-food-dog-food-makanan-kucing-makanan-anjing-1kg
Papillon Makanan Anjing RAW Food Dog Food Anjing - Chicken Berries 1kg,Hewan Peliharaan,Papillon,Jakarta Utara,Jakarta,DKI Jakarta,71250,5.0,500,,4.9,https://www.tokopedia.com/papillon/papillon-makanan-anjing-raw-food-dog-food-anjing-chicken-berries-1kg
Paket Turkey Meat ONLY - Super Hemat ( 14KG =Rp.1Jt) Dog Cat Raw Food,Hewan Peliharaan,RumahBully,Jakarta Timur,Jakarta,DKI Jakarta,1000000,0.0,30,29,5.0,https://www.tokopedia.com/rumahbully/paket-turkey-meat-only-super-hemat-14kg-rp-1jt-dog-cat-raw-food
RAWFOOD-RAW FOOD 1Kg daging SAPI-BEEF giling halus untuk anjing,Hewan Peliharaan,Gummy Rawfood ID,Jakarta Pusat,Jakarta,DKI Jakarta,25000,0.0,4000,135,5.0,https://www.tokopedia.com/gummyrawfood/rawfood-raw-food-1kg-daging-sapi-beef-giling-halus-untuk-anjing
Dog Food Daging Ayam giling tulang halus makanan anjing raw food 1kg,Hewan Peliharaan,Gummy Rawfood ID,Jakarta Pusat,Jakarta,DKI Jakarta,13500,0.0,10000,,5.0,https://www.tokopedia.com/gummyrawfood/dog-food-daging-ayam-giling-tulang-halus-makanan-anjing-raw-food-1kg
Rumahbully | Smoke Beef | Dog Cat Raw Food - 1KG - Makanan Anjing,Hewan Peliharaan,RumahBully Bandung,Kab. Bandung,Bandung,Jawa Barat,49999,1.0,4000,44,5.0,https://www.tokopedia.com/rumahbully-bdg/rumahbully-smoke-beef-dog-cat-raw-food-1kg-makanan-anjing
Pure Sirloin Beef - Dog Raw Food - 500 gram,Hewan Peliharaan,RumahGolden Bandung,Kab. Bandung,Bandung,Jawa Barat,43500,1.0,50,3,5.0,https://www.tokopedia.com/rumahgolden-bdg/pure-sirloin-beef-dog-raw-food-500-gram
Premium Dog Food / Cat Food / Raw Food / Ayam Giling / Chicken Bone-In,Hewan Peliharaan,groomypets store,Jakarta Pusat,Jakarta,DKI Jakarta,18500,0.0,10000,74,5.0,https://www.tokopedia.com/groomypets/premium-dog-food-cat-food-raw-food-ayam-giling-chicken-bone-in
RAW FOOD PORK APPLE & KALE BY SAN PET KITCHEN,Hewan Peliharaan,San Pet Kitchen,Jakarta Utara,Jakarta,DKI Jakarta,60000,0.0,100,,5.0,https://www.tokopedia.com/sanpetkitchen/raw-food-pork-apple-kale-by-san-pet-kitchen
Dogma Raw Food 100% Chicken,Hewan Peliharaan,DogmaDogsJakarta,Jakarta Barat,Jakarta,DKI Jakarta,54000,0.0,80,1,4.8,https://www.tokopedia.com/dogmadogsjkt/dogma-raw-food-100-chicken
Daging Bebek giling raw food makanan anjing 1 kg,Hewan Peliharaan,JD Raw Food,Jakarta Barat,Jakarta,DKI Jakarta,39000,1.0,1000,21,5.0,https://www.tokopedia.com/jdrawfood/daging-bebek-giling-raw-food-makanan-anjing-1-kg
"Kin Dog Food Raw Diets - Buffalo, Chicken & Wild Mackeral 500g",Hewan Peliharaan,Kin Raw Food,Jakarta Barat,Jakarta,DKI Jakarta,71000,0.0,250,74,5.0,https://www.tokopedia.com/kinrawfood/kin-dog-food-raw-diets-buffalo-chicken-wild-mackeral-500g
Vitayang Raw Meal Detox Diet (10 Sachet @30 gr),Lainnya,Vitayang Official,Surabaya,Surabaya,Jawa Timur,550000,0.0,1,,5.0,https://www.tokopedia.com/vitayang/vitayang-raw-meal-detox-diet-10-sachet-30-gr
RAWFOOD-RAW FOOD 1Kg daging SAPI-BEEF giling halus untuk anjing,Hewan Peliharaan,Gummy Rawfood Id,Kota Administrasi Jakarta Pusat,Jakarta,DKI Jakarta,25000,0.0,4000,135,5.0,https://www.tokopedia.com/gummy/rawfood-raw-food-1kg-daging-sapi-beef-giling-halus-untuk-anjing
Super Premium Beef Prime Cut - Dog Cat Raw food,Hewan Peliharaan,RumahBully,Kota Administrasi Jakarta Timur,Jakarta,DKI Jakarta,59999,0.0,500,5,5.0,https://www.tokopedia.com/rumahbully/super-premium-beef-prime-cut-dog-cat-raw-food
Chicken REGULER - Raw Food Ayam Giling 1kg Daging 60% Tulang Halus 40%,Hewan Peliharaan,Tokopedia Seller,Jakarta Selatan,Jakarta,DKI Jakarta,14000,0.0,1000,0,5.0,https://www.tokopedia.com/search?q=raw+food+1kg
