teks,teks_bersih,label,rating,kategori,nama_produk,id_produk,id_toko,url
Barang sesuai pesanan dan cepat sampai,barang sesuai pesanan dan cepat sampai,positif,5,pertukangan,Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart,418660637,1740837,https://www.tokopedia.com/shakaonline87/staples-dekorasi-staples-kayu-refill-8mm-staples-gun-4-8-mm-c-mart
Barang bagus harga murah,barang bagus harga murah,positif,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,1477109,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708
Paket rapi...mantap....cepat....sampe ke tujuan,paket rapi mantap cepat sampai ke tujuan,positif,5,pertukangan,STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708,416032545,1477109,https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708
ya saya puas dgn barangnya,ya saya puas dengan barang,positif,5,pertukangan,ALAT STAPLES TEMBAK (AIR NAILER GUN) OSSEL 1022J,102279869,771395,https://www.tokopedia.com/kamarmesin/alat-staples-tembak-air-nailer-gun-ossel-1022j
Responya luar biasa b mantap,responya luar biasa b mantap,positif,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max
"seller top, pengiriman cepat barang oke",seller top pengiriman cepat barang ok,positif,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max
pengiriman cepat seller top,pengiriman cepat seller top,positif,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max
Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.,produk sesuai dengan spec di web dan respon seller sangat cepat thankyou,positif,5,pertukangan,Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX,190679689,969999,https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max
"Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",respon super cepat pengiriman cepat barang bagus sesuai deskripsi penjual terimakasih gan,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
"Barang mantap, pelayanan cepat",barang mantap pelayanan cepat,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
"Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",sip sesuai pic dscrbs cuma belum dicoba,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
Barang sesuai deskripsi..respon dan proses cepat. Terima kasih,barang sesuai deskripsi respon dan proses cepat terimakasih,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
Mantaaaaaaaappp..........,mantap,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,super,positif,5,pertukangan,refill staples gun tacker manual isi paku tembak model bread nail 14mm,316217334,231740,https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm
