lokasi,kota,provinsi
Jakarta,Jakarta,DKI Jakarta
DKI Jakarta,Jakarta,DKI Jakarta
Jakarta Administrasi,Jakarta,DKI Jakarta
Menteng,Jakarta,DKI Jakarta
Pancoran,Jakarta,DKI Jakarta
Cibubur,Jakarta,DKI Jakarta
Tangerang,Tangerang,Banten
Tangerang Selatan,Tangerang Selatan,Banten
Serang,Serang,Banten
Cilegon,Cilegon,Banten
Lebak,Lebak,Banten
Pandeglang,Pandeglang,Banten
Gading Serpong,Tangerang,Banten
Panongan,Tangerang,Banten
Pondok Cabe Ilir,Tangerang Selatan,Banten
Banten,,Banten
Bandung,Bandung,Jawa Barat
Bekasi,Bekasi,Jawa Barat
Bogor,Bogor,Jawa Barat
Depok,Depok,Jawa Barat
Tasikmalaya,Tasikmalaya,Jawa Barat
Cirebon,Cirebon,Jawa Barat
Bandung Barat,Bandung Barat,Jawa Barat
Garut,Garut,Jawa Barat
Karawang,Karawang,Jawa Barat
Cimahi,Cimahi,Jawa Barat
Cianjur,Cianjur,Jawa Barat
Sukabumi,Sukabumi,Jawa Barat
Sumedang,Sumedang,Jawa Barat
Purwakarta,Purwakarta,Jawa Barat
Pangandaran,Pangandaran,Jawa Barat
Ciamis,Ciamis,Jawa Barat
Indramayu,Indramayu,Jawa Barat
Subang,Subang,Jawa Barat
Kuningan,Kuningan,Jawa Barat
Majalengka,Majalengka,Jawa Barat
Cikarang,Bekasi,Jawa Barat
Purwasari,Karawang,Jawa Barat
Bojongsari,Depok,Jawa Barat
Cinere,Depok,Jawa Barat
Bojong Pondok Terong,Depok,Jawa Barat
Jawa Barat,,Jawa Barat
Semarang,Semarang,Jawa Tengah
Jepara,Jepara,Jawa Tengah
Pekalongan,Pekalongan,Jawa Tengah
Surakarta,Surakarta,Jawa Tengah
Solo,Surakarta,Jawa Tengah
Klaten,Klaten,Jawa Tengah
Sukoharjo,Sukoharjo,Jawa Tengah
Banyumas,Banyumas,Jawa Tengah
Cilacap,Cilacap,Jawa Tengah
Tegal,Tegal,Jawa Tengah
Pati,Pati,Jawa Tengah
Magelang,Magelang,Jawa Tengah
Karanganyar,Karanganyar,Jawa Tengah
Purbalingga,Purbalingga,Jawa Tengah
Kudus,Kudus,Jawa Tengah
Pemalang,Pemalang,Jawa Tengah
Boyolali,Boyolali,Jawa Tengah
Sragen,Sragen,Jawa Tengah
Rembang,Rembang,Jawa Tengah
Kendal,Kendal,Jawa Tengah
Kebumen,Kebumen,Jawa Tengah
Purwokerto,Banyumas,Jawa Tengah
Salatiga,Salatiga,Jawa Tengah
Batang,Batang,Jawa Tengah
Brebes,Brebes,Jawa Tengah
Temanggung,Temanggung,Jawa Tengah
Wonosobo,Wonosobo,Jawa Tengah
Wonogiri,Wonogiri,Jawa Tengah
Purworejo,Purworejo,Jawa Tengah
Banjarnegara,Banjarnegara,Jawa Tengah
Grobogan,Grobogan,Jawa Tengah
Demak,Demak,Jawa Tengah
Blora,Blora,Jawa Tengah
Purwodadi,Grobogan,Jawa Tengah
Jawa Tengah,,Jawa Tengah
Yogyakarta,Yogyakarta,DI Yogyakarta
Sleman,Sleman,DI Yogyakarta
Bantul,Bantul,DI Yogyakarta
Kulon Progo,Kulon Progo,DI Yogyakarta
Gunungkidul,Gunungkidul,DI Yogyakarta
Jogja,Yogyakarta,DI Yogyakarta
DI Yogyakarta,,DI Yogyakarta
Surabaya,Surabaya,Jawa Timur
Malang,Malang,Jawa Timur
Sidoarjo,Sidoarjo,Jawa Timur
Gresik,Gresik,Jawa Timur
Mojokerto,Mojokerto,Jawa Timur
Kediri,Kediri,Jawa Timur
Pasuruan,Pasuruan,Jawa Timur
Blitar,Blitar,Jawa Timur
Nganjuk,Nganjuk,Jawa Timur
Jember,Jember,Jawa Timur
Tulungagung,Tulungagung,Jawa Timur
Banyuwangi,Banyuwangi,Jawa Timur
Lamongan,Lamongan,Jawa Timur
Jombang,Jombang,Jawa Timur
Probolinggo,Probolinggo,Jawa Timur
Bojonegoro,Bojonegoro,Jawa Timur
Lumajang,Lumajang,Jawa Timur
Tuban,Tuban,Jawa Timur
Magetan,Magetan,Jawa Timur
Madiun,Madiun,Jawa Timur
Ponorogo,Ponorogo,Jawa Timur
Batu,Batu,Jawa Timur
Ngawi,Ngawi,Jawa Timur
Bondowoso,Bondowoso,Jawa Timur
Bangkalan,Bangkalan,Jawa Timur
Pacitan,Pacitan,Jawa Timur
Sumenep,Sumenep,Jawa Timur
Pamekasan,Pamekasan,Jawa Timur
Situbondo,Situbondo,Jawa Timur
Surabaya Barat,Surabaya,Jawa Timur
Madura,,Jawa Timur
Jawa Timur,,Jawa Timur
Denpasar,Denpasar,Bali
Badung,Badung,Bali
Gianyar,Gianyar,Bali
Tabanan,Tabanan,Bali
Buleleng,Buleleng,Bali
Bali,,Bali
Medan,Medan,Sumatera Utara
Deli Serdang,Deli Serdang,Sumatera Utara
Binjai,Binjai,Sumatera Utara
Asahan,Asahan,Sumatera Utara
Labuhanbatu,Labuhanbatu,Sumatera Utara
Petisah,Medan,Sumatera Utara
Padang,Padang,Sumatera Barat
Bukittinggi,Bukittinggi,Sumatera Barat
Payakumbuh,Payakumbuh,Sumatera Barat
Tanah Datar,Tanah Datar,Sumatera Barat
Palembang,Palembang,Sumatera Selatan
Lubuk Linggau,Lubuk Linggau,Sumatera Selatan
Ogan Komering Ulu Timur,Ogan Komering Ulu Timur,Sumatera Selatan
Ogan Komering Ulu Selatan,Ogan Komering Ulu Selatan,Sumatera Selatan
Muara Enim,Muara Enim,Sumatera Selatan
Bandar Lampung,Bandar Lampung,Lampung
Metro,Metro,Lampung
Lampung Timur,Lampung Timur,Lampung
Tulang Bawang,Tulang Bawang,Lampung
Pekanbaru,Pekanbaru,Riau
Bengkalis,Bengkalis,Riau
Batam,Batam,Kepulauan Riau
Tanjung Pinang,Tanjung Pinang,Kepulauan Riau
Karimun,Karimun,Kepulauan Riau
Jambi,Jambi,Jambi
Bengkulu,Bengkulu,Bengkulu
Bangka,Bangka,Kepulauan Bangka Belitung
Banda Aceh,Banda Aceh,Aceh
Langsa,Langsa,Aceh
Aceh Utara,Aceh Utara,Aceh
Samarinda,Samarinda,Kalimantan Timur
Balikpapan,Balikpapan,Kalimantan Timur
Banjarmasin,Banjarmasin,Kalimantan Selatan
Banjarbaru,Banjarbaru,Kalimantan Selatan
Pontianak,Pontianak,Kalimantan Barat
Singkawang,Singkawang,Kalimantan Barat
Palangkaraya,Palangkaraya,Kalimantan Tengah
Makassar,Makassar,Sulawesi Selatan
Gowa,Gowa,Sulawesi Selatan
Sidenreng Rappang,Sidenreng Rappang,Sulawesi Selatan
Palopo,Palopo,Sulawesi Selatan
Bone,Bone,Sulawesi Selatan
Palu,Palu,Sulawesi Tengah
Kendari,Kendari,Sulawesi Tenggara
Manado,Manado,Sulawesi Utara
Mamuju,Mamuju,Sulawesi Barat
Gorontalo,Gorontalo,Gorontalo
Mataram,Mataram,Nusa Tenggara Barat
Lombok Barat,Lombok Barat,Nusa Tenggara Barat
Lombok Epicentrum,Mataram,Nusa Tenggara Barat
Kupang,Kupang,Nusa Tenggara Timur
Ternate,Ternate,Maluku Utara
Jayapura,Jayapura,Papua
Merauke,Merauke,Papua Selatan
